curveID,date,taxon,temp_acclim,light_acclim,vpd_acclim,patm_acclim,co2_acclim,Photo,Tleaf,gsw,Ci,Qin,VPDleaf,CO2_r,patm,z,PPFD
13,20210322 10:47:21,RASA,20,250,1000,,420,24.03984091,17.83356,0.605122694,319.9722259,599.9861667,1.440743732,420.0339,,85,600
13,20210322 10:57:43,RASA,20,250,1000,,420,24.60620966,21.23131935,0.617565098,318.6565351,600.0137742,1.505123155,420.0434839,,85,600
13,20210322 11:08:05,RASA,20,250,1000,,420,23.65143902,24.50282333,0.605426046,320.5776547,599.9850333,1.501914969,419.7221667,,85,600
13,20210322 11:18:33,RASA,20,250,1000,,420,23.29379026,27.67716,0.626664283,324.1312417,600.0170667,1.502124646,420.0464667,,85,600
13,20210322 11:28:42,RASA,20,250,1000,,420,21.86100024,30.58000667,0.650211687,328.8343506,599.9940667,1.778952589,419.8248333,,85,600
13,20210322 11:39:06,RASA,20,250,1000,,420,21.05352826,33.11539677,0.678716417,328.8367001,599.9963548,2.365970844,419.4321935,,85,600
13,20210322 11:50:12,RASA,20,250,1000,,420,18.88523208,34.98354333,0.72868627,334.3973534,600.001,2.865739571,418.8206667,,85,600
14,20210322 12:58:14,BOOF,20,250,1000,,420,16.22404565,12.88310667,0.475897577,339.6568451,599.9973,1.096242812,419.6380667,,85,600
14,20210322 13:08:15,BOOF,20,250,1000,,420,18.05739747,15.50103333,0.437083296,325.0084987,600.0219,1.331397599,419.9427333,,85,600
14,20210322 13:18:34,BOOF,20,250,1000,,420,18.95350523,18.375,0.454421655,321.6865387,600.0142333,1.507400001,419.4814,,85,600
14,20210322 13:29:27,BOOF,20,250,1000,,420,21.41501828,21.49294516,0.531283236,322.2033252,600.0008387,1.505203378,420.6929355,,85,600
14,20210322 13:39:29,BOOF,20,250,1000,,420,21.83102802,24.52065333,0.609469216,329.0882848,600.0032333,1.504516018,421.2322667,,85,600
14,20210322 13:49:40,BOOF,20,250,1000,,420,21.83876509,27.58725806,0.676116958,333.8528438,599.9834516,1.497258748,420.6385484,,85,600
14,20210322 13:59:48,BOOF,20,250,1000,,420,21.93879006,30.51040323,0.720074732,335.8404228,599.992129,1.632837448,421.0925161,,85,600
14,20210322 14:10:09,BOOF,20,250,1000,,420,19.76901612,32.56565484,0.813296016,341.450855,599.9940645,2.015222231,417.9552581,,85,600
14,20210322 14:20:31,BOOF,20,250,1000,,420,17.98860847,34.51993,0.819724336,344.9015843,599.9998667,2.40342791,419.0491,,85,600
15,20210322 15:21:34,HOVU,20,250,1000,,420,16.05631576,15.34320645,0.191207872,261.1565791,599.9819677,1.494378872,420.0047742,,85,600
15,20210322 15:32:53,HOVU,20,250,1000,,420,17.59562754,17.16680333,0.20040963,254.2383588,599.9692333,1.492336144,420.6642333,,85,600
15,20210322 15:43:36,HOVU,20,250,1000,,420,18.86160843,19.83816333,0.254549692,273.3621509,599.9941667,1.492412312,419.5457667,,85,600
15,20210322 15:54:24,HOVU,20,250,1000,,420,19.36952908,22.88135667,0.290082337,284.3184403,600.0012333,1.498541153,419.6232333,,85,600
15,20210322 16:05:55,HOVU,20,250,1000,,420,20.01223145,25.74805667,0.313295261,287.6143245,599.9933667,1.498698113,419.0802667,,85,600
15,20210322 16:16:11,HOVU,20,250,1000,,420,17.76361782,28.34076774,0.351612735,310.4902826,599.9836129,1.510987843,418.9618065,,85,600
15,20210322 16:26:21,HOVU,20,250,1000,,420,17.35950795,30.49206,0.375676083,313.1012941,599.9955333,1.998689463,417.7668,,85,600
15,20210322 16:36:23,HOVU,20,250,1000,,420,19.25658368,33.1468871,0.330386605,292.5449399,600.0037742,2.66504268,422.3668387,,85,600
15,20210322 16:46:26,HOVU,20,250,1000,,420,17.08468049,34.31474839,0.287824497,289.534761,600.011871,3.054403851,421.167129,,85,600
16,20210323 14:00:58,BOOF,10,250,1000,,420,5.997295566,6.769951333,0.165108073,350.0080709,599.9611333,0.83090064,419.9868333,,85,600
16,20210323 14:10:59,BOOF,10,250,1000,,420,7.310357416,8.90293129,0.18022403,341.0222478,599.9678065,0.960169299,420.0081613,,85,600
16,20210323 14:20:59,BOOF,10,250,1000,,420,8.640048817,11.77103667,0.172152404,322.9419768,600.0111333,1.180556244,419.99,,85,600
